;1S-Michaud;2S-Renaudie;3S-Trotignon;4S-Buisse;5S-BuisseCristal;6C-AubSilex;7C-Aub Marigny;8C-FontDomaine;9C-FontBrûlés;10C-FontCoteaux;Somme
Fruity;1;5;5;3;4;0;1;4;3;1;27
Sweet, smooth, syrupy;0;1;1;0;0;11;1;2;1;1;18
Oak, woody;1;0;0;0;2;0;7;0;1;5;16
Light,  supple;1;0;2;2;1;2;0;0;4;0;12
Acidic;1;0;1;2;1;0;2;1;2;1;11
Citrus;2;3;1;1;1;0;0;3;0;0;11
Golden yellow;2;0;0;1;0;1;2;1;2;2;11
Lively ;2;3;0;1;3;1;1;0;0;0;11
Fruity flavours;2;1;2;1;0;1;0;1;1;0;9
Delicate, discrete;0;2;1;4;0;0;0;1;1;0;9
Bitter;1;1;0;0;0;0;0;1;2;3;8
Floral;0;1;2;0;2;0;0;1;1;1;8
Rich, musty;0;0;0;0;0;2;2;1;2;1;8
Pale yellow, pale;1;2;2;0;1;2;0;0;0;0;8
Fresh, cool;1;2;2;2;0;0;0;0;0;0;7
Long finish, persistant;1;1;1;0;0;0;2;0;1;1;7
Floral, white flowers;2;1;1;0;1;0;0;0;0;1;6
Dry;0;0;0;3;1;0;0;1;1;0;6
Intense, full;1;0;0;0;0;1;1;0;1;1;5
Honey;0;1;0;0;0;1;1;1;1;0;5
lack of character, weak;0;0;0;0;0;3;0;2;0;0;5
Open, Lots of character;2;0;1;0;0;0;0;1;1;0;5
Full-flavoured;1;1;1;1;0;0;0;0;0;0;4
Foreign flavour (wax, tyre);0;0;0;0;0;0;3;0;0;1;4
Vigourous flavour;2;0;2;0;0;0;0;0;0;0;4
Salty ;1;1;0;1;1;0;0;0;0;0;4
Slightly acidic;1;0;0;1;2;0;0;0;0;0;4
Little character, expressivity;0;0;0;0;0;1;2;0;1;0;4
Sauvignon;1;1;1;0;0;0;0;0;0;1;4
Strong flavour;1;0;0;0;2;0;1;0;0;0;4
Total;28;27;26;23;22;26;26;21;26;20;245
