;J1;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J2;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J3;J30;J31;J32;J33;J34;J35;J36;J37;J38;J39;J4;J40;J41;J42;J43;J44;J45;J46;J47;J48;J49;J5;J50;J51;J52;J53;J54;J55;J56;J57;J58;J59;J6;J60;J61;J62;J63;J64;J65;J66;J67;J68;J69;J7;J70;J71;J72;J73;J74;J75;J76;J77;J78;J79;J8;J80;J81;J82;J83;J84;J85;J86;J87;J88;J89;J9;J90;J91;J92;J93;J94;J95;J96;J97;J98
Angel;exotic sweet pleasant;Gr3;Gr2;flowery soft;fruity strong;vanilla spicy spirit-of-islands;to-eat sweet;food sipce;sweet;dynamic youth life;man;Gr3;strong male medicine;Gr2;particular;Gr4;sweet sickly strong;strong;wooded nature;strong;soft pleasant;woman;party;alcohol;strong;spicy chocolate;spring;acrid strong;intense;Gr5;Gr3;aggressive;fruity rotten;Gr1;Gr6;soft refined;fruity strong;sweet feminine young;fruity sweet attractive young;strong gingerbread almond;aggressive prickly heavy;bitter prickly;strong;robust strong;heady;flowery;honey;vanilla;fruity sweet;prickly;Gr4;vanilla;Angel flowery strong mixture;Gr3;sweet caramelized;Gr6;strong mature-woman;warm soft sweet 40-old-woman;heavy strong;Gr3;wooded male;sweet;strong;fruity;spicy;strong violent;winter;warm vanilla;warm;spicy musk camphor;spicy;invasive-odour;sweet subtle;heady musk leather;sweet smell-of-burning;vanilla sweet Thierry-Mugler;soft fruity;peppery strong sweet spicy;chemical grandmother;cold-tobacco;fruity chocolate Angel Lolita-Lempicka;sweet ether flowery alcohol hippy orange-blossom marshmallow;vanilla;Gr1;heavy;flowery;peppery spicy;old-woman strong;flowery grandmother;male;erotic;senior-citizen;flowery strong;very-sweet;candyfloss;warm sweet;party;character
Aromatics Elixir;strong alcoholized grandmother;Gr2;Gr2;strong man;heady grandmother;rough strong;old;household wax;chemical non-natural artificial;aggressive grandmother;talc grandmother;Gr3;middle-aged-woman flowery suffocating;hospital pharmaceutical;strong unpleasant;Gr2;artificial pharmaceutical cleaning;toilet old eau-de-cologne;wooded nature;Gr1;depleasant sharp strong;soft fruity;strong;alcohol;prickly;woman;spring;acrid strong;old;Gr4;Gr3;aggressive;fruity rotten;aggressive prickly;Gr5;aggressive harsh;eau-de-cologne;musk amber old;intense strong alcohol;strong gingerbread almond;aggressive prickly heavy;toilet strong;strong;strong bitter;heady;flowery;flowery rose;rose flower;fruity sweet;prickly;strong peppery;strong flowery;peppery mentholated strong acid;Gr1;flowery interior powder;soap strong;strong mature-woman;grandmother;heavy strong;Gr3;wooded male;strong chemical;strong male heavy musty sickly;strong;old strong;strong violent;sweet summer;patchouli-oil heady;Gr5;amber old;prickly;flithy strong;aggressive chemical;heady musk leather;grandmother;flowery grandmother;strong;sweet strong flowery;chemical grandmother;aggressive strong;spoilt;sweet ether flowery alcohol hippy orange-blossom marshmallow;rose;Gr5;Gr1;spicy;cleaning;old-woman strong;flowery grandmother;heavy;erotic;light;chemical;sour aggressive cleaning;soft;Gr3;sensual-pleasure;mature-woman
Chanel 5;soap clean;Gr2;Gr2;Gr4;heady grandmother;toilet;soap;known classical;chemical non-natural artificial;dynamic youth life;talc grandmother;Gr1;strong male medicine;hospital pharmaceutical;strong unpleasant;Gr2;artificial pharmaceutical cleaning;toilet old eau-de-cologne;Gr3;light;Gr5;strong;strong;alcohol;soap;woman;fresh;lemony;toilet;soap fresh;Gr1;soap;Marseille-soap;aggressive prickly;Gr5;medicine plant;toilet;musk amber old;intense headache flowery lilac funeral;soft flowery grandmother;freshness soft light nature;toilet strong;exotic;strong bitter;strong;toilet-air-freshener;Gr4;vanilla;fruity sweet;prickly;natural soft;strong flowery;soap strong strong;Gr2;flowery interior powder;soap strong;soap toilet;old soap;heavy strong;Gr3;wooded male;strong chemical;strong male heavy musty sickly;strong;old strong;soap;winter;patchouli-oil heady;Gr2;amber old;prickly;flithy strong;aggressive chemical;toilet;grandmother;flowery grandmother;attack;sweet strong;chemical grandmother;aggressive strong;spoilt;Christmas USA old hippy potpourri bunch grandmother;rose;Gr4;heady;spicy;cleaning;old-woman strong;flowery grandmother;heavy;fresh;senior-citizen;chemical;sour aggressive cleaning;soft;Gr3;sensual-pleasure;eau-de-cologne
Cinéma;flowery lilac;Gr1;Gr3;flowery artificial grass;fruity middle;sweet;soft;food sipce;light soft;dynamic youth life;fruity;Gr4;young fresh flowery;Gr1;discreet flowery light;Gr2;sweet sickly strong;flowery sweet;fresh young fruity;Gr2;Gr4;Gr6;party;warm;Gr3;spicy chocolate;fruity;lemony;old;vanilla;Gr2;flowery;flowery;Gr1;Gr3;soft refined;sweet;sweet feminine young;sweet-flower heady sweet nature freshness;soft flowery;freshness soft light nature;discreet light;light;robust strong;strong;chocolate grandmother;flowery rose;rose flower;peppery;summer;natural soft;soft fresh;fruity sweet soft light;Gr5;citrus-fruit;soft fruity;fresh prickly;warm soft sweet 40-old-woman;flowery light;soft;flowery;fruity;light flowery;chemical;soft;sweet;sweet summer;Gr3;flowery fresh;spicy musk camphor;flowery acid;invasive-odour;fruity;sweet fruity;sweet smell-of-burning;flowery;flowery country-style;sweet strong flowery;honeysuckle inelegant;soft;winter voluptuous warm;grandmother sweat toilet;rose;Gr1;light;flowery;peppery spicy;classic;soft;heavy;fresh;light discreet;flowery light;soft;candyfloss;prickly;fruity;character
Coco Mademoiselle;soap clean;Gr4;Gr3;flowery soft;fruity middle;softness flowery;soft;known classical;light soft;dynamic youth life;discreet;Gr3;young fresh flowery;Gr1;discreet flowery light;Gr1;light fruity;soft flowery;soft;light;depleasant sharp strong;soft fruity;nature fresh;alcohol;soft;flowery;mountain;prickly;flowery;Gr7;Gr2;plant;Gr2;soft;Gr2;sensual enchanting;sweet;woman special;flowery freshness soft sweet;soft flowery;strong prickly intense;fruity soft;exotic;fresh light fruity;flowery soft;Gr4;fruity;Gr5;fruity sweet;Gr3;natural soft;flowery fruity;fruity sweet soft light;Gr5;sweet flowery;soft fruity;strong mature-woman;flowery warm;soft spicy flowery;soft;freshness washed-linen;flowery;light flowery;male;soft;soft;sweet summer;Gr5;fruity;fruity sweet fresh;baby;soft discreet;fruity;fresh grass-bracken;citric;flowery;soft fruity;light bitter;flowery rose subtle;aggressive strong;summer fresh;vetiver green-plants tree fresh spring cut-grass bracken;rose;Gr2;Gr1;flowery;flowery;classic;soft;heavy;erotic;light discreet;flowery light;very-sweet;nature soft prickly;prickly;fruity;light natural
J adore (EP);soap clean;Gr2;Gr1;flowery soft;sweet light;softness flowery;flowery;known classical;sweet;soft pleasant baby;fruity;strong;middle-aged-woman flowery suffocating;hospital pharmaceutical;discreet flowery light;Gr1;light fruity;acrid;soft;Gr1;soft pleasant;bath shower;soft;warm;soft;flowery;mountain;acrid strong;fruity sweet;soap fresh;Gr2;flowery;flowery;soft;shower-gel flowery fruity;flowery strong;Gr8;flowery;soft cleanness freshness soap;fresh citrus toilet;freshness soft light nature;discreet light;exotic;fresh light fruity;flowery soft;flowery;fruity;rose flower;peppery;summer;natural soft;soft fresh;flowery sweet intense strong warm;Gr2;sweet caramelized;lavander;fresh prickly;warm soft sweet 40-old-woman;flowery light;light;fruity;fruity;light flowery;fruity;Gr5;Gr3;sweet summer;light flowery;flowery fresh;flowery sweet;fruity;flithy strong;soft plant;sweet fruity;citric;cleaning-solvent chemical;soft fruity;light bitter;flowery rose subtle;soft;summer fresh;Christmas USA old hippy potpourri bunch grandmother;lily-of-the-valley;Gr2;sweet;sweet;fruity;discreet;hypoallergenic baby pharmacy;flowery;erotic;light;flowery strong;discreet;soft;marine soft;fruity;fruity discreet
J adore (ET);soap clean;Gr3;Gr1;flowery artificial grass;sweet light;softness flowery;flowery;known classical;light soft;dynamic youth life;discreet;Gr4;middle-aged-woman flowery suffocating;Gr1;discreet flowery light;Gr1;light fruity;flowery sweet;soft;light;soft non-persistent;bath shower;nature fresh;strong;soft;flowery;fruity;fruity;fruity sweet;soap fresh;Gr4;flowery;Marseille-soap;Gr1;shower-gel flowery fruity;flowery strong;Gr8;flowery;soft cleanness freshness soap;strong flowery;freshness soft light nature;discreet light;exotic;fresh light fruity;flowery soft;flowery;flowery rose;vanilla;fruity sweet;Gr3;natural soft;soft fresh;flowery sweet intense strong warm;Gr4;sweet caramelized;lavander;soft;warm soft sweet 40-old-woman;soft spicy flowery;light;flowery;flowery;light flowery;fruity;soft;Gr3;sweet summer;Gr5;fruity;flowery sweet;fruity;soft discreet;soft plant;fresh grass-bracken;citric;cleaning-solvent chemical;soft fruity;sweet strong;flowery rose subtle;toilet;summer fresh;Christmas USA old hippy potpourri bunch grandmother;lily-of-the-valley;Gr3;heavy;flowery;fruity;classic;soft;flowery;robust;light;flowery light;discreet;soft;marine soft;passion;fruity discreet
L instant;Gr3;Gr1;Gr1;flowery soft;fruity strong;sweet;old;flowery;sweet;aggressive grandmother;talc grandmother;strong;young fresh flowery;Gr2;strong;Gr2;sweet sickly strong;acrid;Gr3;strong;food;soft fruity;soft;warm;soft;woman;mountain;prickly;pistachio almond;vanilla;Gr4;plant;Marseille-soap;soft;Gr2;sensual enchanting;Gr2;spicy warm;fruity sweet attractive young;strong flowery;aggressive prickly heavy;discreet light;light;strong bitter;strong;chocolate grandmother;fruity;vanilla;peppery;Gr3;Gr3;vanilla;flowery sweet intense strong warm;Gr5;acidity prickly;lavander;soft;warm soft sweet 40-old-woman;soft spicy flowery;light;flowery;fruity;sickly strong;grandmother-cologne;Gr5;sweet;sweet summer;Gr3;Gr5;fruity sweet fresh;baby;soft discreet;soft plant;heavy amber spicy;sweet smell-of-burning;flowery;flowery country-style;light bitter;honeysuckle inelegant;flowery soft old;winter voluptuous warm;grandmother sweat toilet;vanilla;heavy;sweet;neutral;cleaning;discreet;eccentric;flowery;robust;Gr6;flowery strong;soft;soft;marine soft;spring;mature-woman
Lolita Lempicka;exotic sweet pleasant;Gr1;Gr3;flowery soft;fruity middle;vanilla spicy spirit-of-islands;to-eat sweet;food sipce;sweet;soft pleasant baby;fruity;Gr3;young fresh flowery;Gr2;discreet flowery light;Gr4;sweet sickly strong;flowery;fresh young fruity;light;soft non-persistent;bath shower;party;warm;Gr3;spicy chocolate;fruity;fruity;intense;vanilla;Gr4;flowery;flowery;soft fruity;Gr3;soft refined;sweet;sweet feminine young;originality balance tenderness softness;soft flowery;freshness soft light nature;fruity soft;light;robust strong;strong;Gr5;fruity;fruity red-fruit;peppery;prickly;strong peppery;candy sweet;fruity sweet soft light;Gr3;sweet caramelized;Gr8;strong mature-woman;fresh flowery;soft spicy flowery;soft;flowery;fruity;strong;fruity;spicy;strong violent;winter;warm vanilla;warm;spicy musk camphor;peppery;flowery;fruity;heavy amber spicy;sweet smell-of-burning;vanilla sweet Thierry-Mugler;Gr4;light bitter;honeysuckle inelegant;flowery soft old;fruity chocolate Angel Lolita-Lempicka;Christmas USA old hippy potpourri bunch grandmother;Gr2;Gr4;light;spicy;peppery spicy;classic;soft;flowery;summer;neutral discreet;flowery light;very-sweet;candyfloss;warm sweet;aseptic;character
Pleasures;Gr3;Gr2;Gr1;strong man;fruity strong;sweet;flowery;flowery;pollen;dynamic youth life;discreet;Gr4;middle-aged-woman flowery suffocating;Gr1;discreet flowery light;Gr3;natural;flowery;soft;light;Gr4;sweet;soft;strong;soft;flowery;fruity;fruity;flowery;Gr6;Gr4;flowery;Marseille-soap;soft fruity;shower-gel flowery fruity;flowery strong;Gr7;flowery;intense headache flowery lilac funeral;fresh citrus toilet;freshness soft light nature;bitter prickly;exotic;fresh light fruity;flowery soft;Gr5;flowery rose;vanilla;peppery;prickly;natural soft;flowery fruity;flowery sweet intense strong warm;Gr4;flowery interior powder;Gr5;strong mature-woman;fresh flowery;flowery light;light;flowery;flowery;light flowery;fruity;nature;soft;sweet summer;light flowery;flowery fresh;flowery sweet;flowery acid;soft discreet;sweet subtle;fresh grass-bracken;citric;lily-of-the-valley;flowery country-style;sweet strong;honeysuckle inelegant;soft;summer fresh;vetiver green-plants tree fresh spring cut-grass bracken;lily-of-the-valley;Gr3;Gr5;flowery;flowery;discreet;flowery grandmother;flowery;fruity;light;flowery strong;sour aggressive cleaning;nature soft prickly;marine soft;spring;light natural
