breakfast;afternoon.tea;evening;after.lunch;after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;variety;how;sugar;format;place.of.purchase;type;sex;profession;sport;age;age_Q;frequency;exotic;spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;slimming;stimulant;relaxant;no.effect.health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;nothing.added;sugar;sachet;supermarket;unknown;M;management;sporty;39;35-44;1/day;not.exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;milk;not.sugar;sachet;supermarket;varies;F;management;sporty;45;45-59;1/day;exotic;not.spirituality;good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health
not.breakfast;afternoon.tea;evening;not.after.lunch;after.dinner;not.anytime;home;work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;F;other work;sporty;47;45-59;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;M;student;not.sporty;23;15-24;1/day;exotic;spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;M;employee;sporty;48;45-59;more than 2/day;exotic;spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;shop.brand;M;student;sporty;21;15-24;1/day;not.exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;M;senior management;sporty;37;35-44;3 to 6/week;not.exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;milk;not.sugar;sachet;supermarket;varies;F;management;sporty;36;35-44;1 to 2/week;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;not.sugar;sachet+loose;supermarket+specialist.;luxury;M;senior management;sporty;40;35-44;more than 2/day;not.exotic;not.spirituality;not.good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;not.friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;luxury;M;senior management;not.sporty;37;35-44;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health
